Timestamp,q17,q17_binned
12/12/2022 10:32:07,75,(60-80%]
12/12/2022 10:42:05,80,(60-80%]
12/12/2022 11:04:31,0,[0-20%]
12/12/2022 11:05:56,100,(80-100%]
12/12/2022 12:55:10,100,(80-100%]
12/12/2022 13:23:06,100,(80-100%]
12/12/2022 14:40:00,50,(40-60%]
12/12/2022 14:41:26,100,(80-100%]
12/12/2022 15:30:58,100,(80-100%]
12/12/2022 21:30:13,70,(60-80%]
14/12/2022 10:57:02,50,(40-60%]
16/12/2022 10:23:50,100,(80-100%]
03/01/2023 09:23:38,100,(80-100%]
06/01/2023 12:59:16,100,(80-100%]
06/01/2023 13:01:37,25,(20-40%]
06/01/2023 13:09:05,20,[0-20%]
06/01/2023 14:43:18,50,(40-60%]
06/01/2023 16:43:32,100,(80-100%]
09/01/2023 08:35:40,100,(80-100%]
09/01/2023 14:17:17,30,(20-40%]
09/01/2023 20:42:27,86,(80-100%]
10/01/2023 09:27:32,100,(80-100%]
10/01/2023 09:27:57,100,(80-100%]
10/01/2023 10:10:15,20,[0-20%]
10/01/2023 11:17:33,8,[0-20%]
10/01/2023 11:48:09,100,(80-100%]
11/01/2023 16:41:16,100,(80-100%]
12/01/2023 13:00:07,100,(80-100%]
13/01/2023 10:07:36,100,(80-100%]
13/01/2023 10:40:36,40,(20-40%]
13/01/2023 13:35:29,33,(20-40%]
13/01/2023 18:58:20,20,[0-20%]
18/01/2023 11:55:23,0,[0-20%]
18/01/2023 14:48:02,100,(80-100%]
19/01/2023 16:02:14,100,(80-100%]
